id,title,ingredients
1,계란볶음밥,"rice;egg;onion;carrot;soy_sauce"
2,토마토파스타,"pasta;garlic;olive_oil;tomato;salt"
3,오믈렛,"egg;milk;butter;cheese;salt"
4,김치찌개,"kimchi;pork;tofu;onion;garlic"
5,토스트,"bread;egg;cheese;butter"
6,감자계란샐러드,"potato;egg;mayonnaise;onion;pepper"
7,된장찌개,"soybean_paste;tofu;zucchini;onion;garlic"
8,참치마요주먹밥,"rice;tuna;mayonnaise;seaweed;soy_sauce"
9,볶음우동,"udon;onion;cabbage;soy_sauce;sesame_oil"
10,치즈라면,"ramen;cheese;egg;green_onion"
11,계란간장비빔밥,"rice;egg;soy_sauce;sesame_oil;seaweed"
12,김치참치볶음밥,"rice;kimchi;tuna;onion;soy_sauce;sesame_oil"
13,스팸마요덮밥,"rice;spam;mayonnaise;egg;green_onion;soy_sauce"
14,간단계란국,"water;egg;green_onion;garlic;soy_sauce;salt"
15,두부김치,"tofu;kimchi;onion;garlic;sesame_oil"
16,치즈계란토스트,"bread;egg;cheese;butter"
17,참치마요토스트,"bread;tuna;mayonnaise;onion"
18,간장버터우동,"udon;soy_sauce;butter;garlic;green_onion"
19,대파계란볶음,"egg;green_onion;soy_sauce;sesame_oil"
20,참치김치라면,"ramen;tuna;kimchi;green_onion"
21,감자계란전,"potato;egg;salt;oil"
22,두부스크램블,"tofu;egg;milk;butter;salt;pepper"
23,고추장참치비빔밥,"rice;tuna;gochujang;sesame_oil;egg;seaweed"
24,양배추계란볶음,"cabbage;egg;garlic;soy_sauce;sesame_oil"
25,마늘볶음라면,"ramen;garlic;olive_oil;soy_sauce"
26,버터간장버섯밥,"rice;mushroom;butter;soy_sauce;sesame_oil"
27,치즈김치볶음밥,"rice;kimchi;cheese;onion;garlic;sesame_oil"
28,스팸김치찌개,"spam;kimchi;tofu;onion;garlic;water"
29,옥수수버터구이(에어프라이어 가능!),"corn;butter;salt;pepper"
30,감바스,"garlic;olive_oil;bread;pepper;salt"
31,삼겹살숙주볶음,"pork_belly;bean_sprout;garlic;green_onion;soy_sauce;pepper;sesame_oil"
32,엽떡남은소스볶음밥,"rice;tteokbokki_sauce;egg;onion;seaweed"
33,엽떡라면사리볶이,"ramen_noodle;tteokbokki_sauce;green_onion;garlic"
34,편의점참치마요컵밥,"instant_rice;tuna;mayonnaise;soy_sauce;seaweed"
35,편의점스팸마요컵밥,"instant_rice;spam;mayonnaise;soy_sauce;seaweed"
36,치즈계란컵라면,"cup_ramen;cheese;egg;green_onion"
37,삼각김밥라면말이,"triangle_kimbap;cup_ramen;seaweed_snack"
38,참치김치즉석볶음밥,"instant_rice;kimchi;tuna;onion;sesame_oil;soy_sauce"
39,김참기름비빔밥,"instant_rice;seaweed;sesame_oil;soy_sauce;egg"
40,소세지야채볶음(편의점 버전),"sausage;onion;cabbage;garlic;oil;soy_sauce"
41,옥수수버터간장구이,"corn_can;butter;soy_sauce;pepper"
42,햄치즈에그토스트,"bread;spam;cheese;egg;butter"
43,비엔나케챱볶음,"sausage;ketchup;onion;oil"
44,마요계란주먹밥,"rice;egg;mayonnaise;seaweed;soy_sauce"
45,콘치즈에어프라이어,"corn_can;cheese;mayonnaise;pepper"
46,라면볶음,"ramen;garlic;soy_sauce;sesame_oil;egg"
47,달걀두부구이간장소스,"tofu;egg;soy_sauce;green_onion;garlic;sesame_oil"
48,김치유부우동,"udon;kimchi;fried_tofu;onion;garlic"
49,참치마요비빔우동(냉우동 스타일),"udon;tuna;mayonnaise;soy_sauce;green_onion"
50,간장버터즉석밥,"instant_rice;butter;soy_sauce;seaweed"
